Diagnosis,count
weakness (lactating mother),41
migrane,41
generallised body pain,41
leucorhea,41
fever since 1 day,41
acute diarrhoea,41
cut injury,41
menstural pain,41
12,41
pain elbow,41
disc prolapse,41
watery discharge from eyes,41
back pain  weakness,41
fibroid,41
itching on hand,41
l eye watery discharge.,41
weakness dizziness,41
neck strain,41
dermatits,41
fever 5 days,41
pain rt side knee joint,41
pain in left knee,40
chronic smoker,40
generalised weakness cause,40
hypothyroidism on rx,40
rt shoulder pain [ weakness ],40
l foot pain,40
hypothyroid,40
dry cough since a week,40
bodyach,40
headache wekaness,40
skin disorder,40
otorrhea,40
cough - productive,40
whole body swelling,40
lower backpain,40
cough n cold since 2 days,40
4,40
weakness acidity,40
abrasion,40
ear wax,40
burn injury,40
fevr,40
leg wound,40
itching on whole body,40
gatsritis,40
whole body pain,40
expectorant,40
back pian,40
cold since 1 week,40
o trauma in past,40
calcaneal spur,40
leg-pain,40
out rash,40
swelling in neck,40
traumatic,40
tingling in hand,40
urti fuc,39
cough since 1week,39
h---30,39
planter fasciitis,39
lvdp,39
irregular menstruation cycle,39
urti gastritis,39
ear pain',39
pigmentation,39
leg sprain,39
jointpain,39
scalp itching,39
halitosis,39
fever bodyache,39
arthritis - multiple joints,39
loose motion.,39
accelerated htn,39
cold since 2days,39
urti since 10days,39
itching over hand,39
pityriasis capitis,39
normal,39
skin lesions under evaluation,39
periarthritis shoulder,39
urti weakness,39
accelerated hypertension,39
pimples on face,39
bodyitching,39
low back ache (  trauma+),39
back pain' weakness,39
chest palpitation,39
ankle joint pain,39
gastritis anorexia,39
right shoulder arthralgia,38
itching all over the body,38
.,38
whitish expectoration,38
generalised body weakness,38
seborrheic capitis,38
knee + leg pain,38
mild swelling,38
tingling of feet,38
p1l1,38
myalgia nutritional deficiency,38
no itching,38
fungal,38
body pain and. gastritis,38
dlp,38
itching over leg,38
watering eye,38
known case of diabetes,38
some investigations done,38
sinus headache,38
pterygium,38
leucorrhea mild,38
itching in thigh (fungal infection),38
type2 dm,38
nausea.,38
pain in throat,38
fever 2 days,38
pain in rt leg,38
lower abdominal pain.,38
fever since one week,37
bph,37
piles ( bleeding),37
lump,37
nail infection,37
skin infection at private area,37
on medications,37
eye allergy,37
headache fever,37
eye vision issue,37
knee pain (r),37
diarhoea,37
ache,37
pain extending from back to legs,37
chest pain',37
vomit,37
low weight,37
overweight,37
knee pain gastritis,37
itching in b,37
cough 2 days,37
stress,37
lumbosacral myalgia,37
weakness - since 2 month,37
pt is lactating mother of 2 years baby,37
right knee arthralgia,37
disc displacement,37
kco hypertension,37
t.versicolor,37
genralised weakness,37
hyperuricemia,37
4 months pregnancy,37
fungal inf.,37
cyst,37
heel pain [ weakness ],37
dry cough since three days,36
hypertension ( on regular medication ),36
gastritis.,36
period pain,36
cough x7d,36
ringworm in groin area,36
leg apin,36
dysmenorhea,36
post viral arthralgia,36
accidental injury,36
apathous ulcer,36
face swelling,36
polymenorrhagia,36
pain in right hand.,36
numbness in hand,36
unilateral headache,36
burning eyes,36
lumbar disc prolapse,36
pv watery discharge,36
burning urination,36
bodyache gas,36
knee pain.,36
cough under evaluation post viral,36
itching face,36
gen body pain,36
itching on buttocks,36
l lower limbs,36
eyes pain,36
headache since 3 days,36
weakness k,36
occasional pain abdomen,36
dysmenorhoea,36
right shoulder,36
water from eye,36
seasonal allergy,36
odontalgia,36
back apin,36
smoker,36
viral prodrome 2d,36
hyperacidity wekaness bodyache,35
hypomenorrhoea,35
calf pain,35
burning sensation in legs,35
pedal oedema,35
urti x 4d,35
ba,35
fever for 3 days,35
high blood pressure documented ( pt has been counselled for hypertension,35
generalised edema,35
itchy eyes,35
pain in wrist,35
dryness,35
usg s,35
eye watery discharge,35
pus discharge,35
musculoskeletal pain of back,35
pain in joint,35
weakness  gastritis,35
joint pain weakness,35
laryngitis,35
patient not available for consultation,35
hemorrhoides,35
drug allergy,35
pms,34
high bp reading,34
knee pain (l),34
swelling all over body,34
peripheral edema,34
cough since 7 days,34
photodermatitis,34
htn ( regular medication),34
chronic headache,34
back pain leg pain,34
reduced hearing,34
headache gas,34
acute tonsillitis,34
vaginal infection,34
bodyache since 4days,34
hyperopia,34
irregular bowel movements,34
o smoking,34
oad-lrti,34
itching in skin,34
candidiasis,34
secondary infection,34
eye burning,34
body painweakness,34
dyspnea for evaluation,34
pain back  weakness,34
hyperlipidemia,34
cough  weakness,34
facial acne,34
shaulder pain,34
wound on foot,34
skin dryness,34
sti,34
urti x 3 d,34
muscular pain,34
breastfeeding mother,34
doe,34
watering of eye,34
tingling in limbs,34
allergic bronchitis,34
right,34
fever since 4days,34
left sided chest pain,34
urti x 10d,34
weakness pain back,34
2 months pregnancy,34
fever since 15days,33
high systolic bp,33
cough cold since 2 days,33
heartburn under evaluation,33
nephrolithiasis,33
c pharyngitis,33
indigestion under evaluation,33
join pain,33
o htn on medication,33
dm(on meds),33
discharge from ear,33
nasopharyngitis since 3days,33
left knee joint pain,33
piles (bleeding),33
gastritis cough,33
sweating,33
3 months pregnant,33
cough since 2days,33
body pain since 3 days,33
irregular mensus,33
nutritional anemia,33
itching on back,33
informant-father,33
ligament injury,33
headache cause,33
tendinitis,33
urine infection,33
regular deworming,33
numbness in leg,33
pain in stomach,33
skin cracks,33
cough  fever,33
itchy rashes,33
p. versicolor,33
pompholyx,33
skin infection on leg,33
nutritonal deficiency,33
backache since 2 days,32
generalised  malaise,32
lumbar radiculopathy,32
pain in rectum area.,32
acanthosis nigricans,32
bodyache gastritis,32
diabetes mellitus on medication,32
itching over back,32
eye ache,32
high-bp,32
out rashes,32
right foot pain,32
accidental fall,32
pain in the back,32
skin infection on back,32
burning sensation in eyes,32
numbness over hand,32
tingling sensation in feet,32
myalgia + weakness,32
cold cough headache,32
pt on medication,32
oligomennorhea,32
backpain leucorrhea,32
body pain since 1 month,32
old cva,32
calcium,32
weaknesslow bp,32
ring worm weakness,32
generalised myalgia under evaluation,32
gastritis leading to chest pain,32
pain calcaneum,32
pain in right knee,32
toothache since 3 days,32
pain in rt shoulder,32
weakness since 3 days,31
angina,31
weakness since 2 month,31
all body itching,31
3days,31
: htn,31
weakness worms,31
decrease appetite,31
htn under med,31
morning sickness,31
rash over body,31
shortness of breath on exertion,31
known ba on treatment,31
allergic conjunctive,31
weakness knee pain,31
swelling over leg,31
geenralised weakness,31
knee pain since 4 days,31
eye dryness,31
swelling in b,31
back pain gastritis,31
left knee pain under evaluation,31
pain in ll (  exertion+),31
gastroenteritsi,31
sneezing - since 2 days,31
itching in back,31
pain feet,31
leucorrhoea.,31
hand itching,31
neuropathic,31
thumb pain,31
pain in limbs+,31
2 ringworm,31
palpitation.,31
coug,31
cystitis,31
cold since 10 days,31
low back ache (  exertion+),31
knee pain  weakness,31
headache body pain,31
menorhagia,31
loss of appetite+,31
knee joint arthritis,30
allergic reaction,30
pro.cough,30
knees pain,30
nausia,30
gastric colic,30
nerve compression,30
generalised waekness,30
headache(migraine),30
food poisoning,30
left knee arthralgia,30
nasopharyngitis since 2days,30
urti since two weeks,30
joint pain',30
left foot pain,30
hyperhidrosis,30
renal colic,30
gastritits,30
addictions+,30
dm on meds,30
tingling sensation hand,30
hematuria,30
cough cold since 4 days,30
mjp,30
hypertensive urgency,30
no other gi,30
2 visual acuity,30
body pain gastritis,30
weakness since 1 week,30
wound on head,30
tingling sensation legs - since 1 year,30
respiratory,30
nasal block,30
fever x 5d,30
skin issue,30
knee swelling,30
polymennorhea,30
allergy problem,30
2 dermatitis,30
pruritis no rashes,30
ichiness,30
rt foot pain,30
fever n chills,30
productive cough since 5 days,30
scabies c weakness,30
chicken pox,30
body pain. weakness,30
gastitis,30
5 days,30
atypical chest pain,29
eye injury,29
tingling of legs,29
lower body pain,29
o htn,29
l foot,29
wound on hand,29
bodyche,29
2yrs,29
lowback ache,29
chest pain f,29
hemmorhoids,29
headache cough cold,29
onchomycosis,29
pain in lower limbs,29
stomach infection,29
persistent cough,29
pain abdomen weakness,29
scabies under evaluation,29
lri,29
t.capitis,29
right shoulder pain under evaluation,29
foot crack,29
calcaneal pain,29
allergic contact dermatitis,29
dbp low,29
pain hands,29
leuccorrhea,29
fever since 10days,29
itching  whole body,29
l lower limbs pain,29
headache gastritis weakness,29
bowel complaints,29
body pain - since 1 week,29
fungal infection of the skin,29
left knee pain [ weakness ],29
2 back pain,29
polyarthralgia under evaluation,29
right knee pain under evaluation,29
right eye pain,29
ad,29
radiation to legs,29
numbness of legs,29
vit def,29
backache due to old injury,29
gastrtitis,29
pain in feet,29
cough 10 days,29
l ear discharge,29
fever at night,28
lowback pain,28
acute diarrhea,28
high grade fever,28
chronic malnutrition++,28
tinea incognito,28
skin infection on face,28
swelling on face,28
pain in rt knee,28
depression,28
primary infertility,28
headache and. weakness,28
vaginal discharge,28
acid peptic disease,28
headache-tension type,28
face itching,28
irregular menstrual cycle.,28
irritable bowel disease,28
body pain - since few month,28
hypothyroidism on treatment,28
stomach pain',28
tingling sensation in lower limb,28
toothache+,28
wax in ear,28
vulvitis,28
elbow,28
hemorroids,28
tingling sensation legs - since few month,28
deformity,28
chest wall pain,28
irritation,28
hand pain due to injury,28
oligomennorhoea,28
respiratory distress,28
bp-142,28
weakness since 10 day,28
urti since 15days,28
arthritis - left knee,28
left,28
back pain urti,28
medicine,28
2 knee pain,28
injury in leg,28
swelling of feet,28
chest pain  gastritis,28
vitamin def,28
anorexia n weakness,28
cva,28
fever  cough,28
kidney stones,28
painful,28
r,28
fever cough cold since 10 days,28
burning micturition.,28
other fatigue,28
redness in eyes,28
itching in face,28
dm (on medication),28
hypertensive on rx,28
ringworm weakness,28
low abdominal pain,28
lcb--5yrs,28
fever x4d,28
knee pain since 5 days,28
gas headache,28
upper,28
seasonal dehydration,28
leg pain gastritis,28
scalp infection,28
o chest pain,28
nasal obstruction,28
fever x5d,28
arthralgia rt hand,27
not on rx,27
uneasiness,27
lump in neck,27
stiffness,27
lba [ weakness],27
malaise c bodyache,27
itching eyes,27
back pain and. gastritis and. weakness,27
blurring vision,27
urti x 2d,27
itching of eyes,27
headache +,27
arthritis knee,27
drycough,27
ptb,27
pain in the leg,27
tingling sensation of leg,27
oa knee lt side,27
elbow joint pain,27
lt hand pain,27
arthralgia rt shoulder,27
headache acidity,27
myalgia n weakness,27
alopecia areata,27
tremors,27
eye,27
delayed periods,27
itching problem,27
burning sensation of feet,27
headache -  cause,27
pustules,27
blood,27
dental-caries,27
low back ache radiating to leg,27
pain lt side knee joint,27
weaknees,27
1 pain in abdomen,27
syncope,27
weakness - since 3 month,27
left abdominal pain.,27
fever x 1wk,27
deafness,27
weakness cold,27
limb pain,27
backache [h,27
knee joint,27
generalised swelling,27
t2 dm,27
leg painweakness,27
left sciatica,27
giddiness since 2 days,27
palpitation for evaluation,27
leucorhhoea,27
shoulder pain b,27
pain in the eyes,27
back pain and. gastritis weakness,27
left shoulder,27
acute bronchitis,27
orbital pain,26
ocular pruritus,26
headache pain,26
leucorrhoea back pain,26
infected ringworm,26
fever cold cough since 2 days,26
htn (not on medication),26
cough back pain,26
radiating leg pain,26
hypertension (on medication),26
uri on rx,26
fever since 1 month,26
kco t2dm,26
knee pain post fall,26
lba arthralgia,26
weakness  c anorexia,26
4 month pregnancy,26
pharngitis,26
poly arthritis,26
post trauma,26
pain rt side shoulder,26
upper back ache,26
vit d deficiency,26
urine incontinence,26
leg pain.,26
gb stone,26
cough gas,26
appendicitis,26
nasal polyp,26
l ear pain,26
wound over leg,26
heat boils,26
tingling sensetion in leg,26
unmarried,26
ankle,26
pain rt shoulder,26
premature ejaculation,26
dark circles,26
weakness n bodyache,26
father seeking advice for weight gain,26
pain in right shoulder.,26
cold allergy,26
ulcer,26
o injury],26
rt wrist pain,26
oral mucositis,26
ringworm on buttocks,26
neck ache,26
cough cold since 5 days,26
headache since 1 week,26
acute gasteroentritis,26
myalgia [ weakness],26
cough myalgia,26
pruritis body,26
sacbies,25
knee pain due to old injury,25
irregular,25
cough leg pain,25
itching in body (fungal infection),25
body pain  weakness,25
no pic available,25
abdominal distension,25
itching on neck,25
cough - since 10 days,25
cough since three days,25
wound injury,25
wound in hand,25
under treatment,25
acute rhinitis,25
bodyache c weakness,25
aphthous ulcers,25
alcohol use disorder,25
no relief,25
urti since 6days,25
triangling sensation,25
hookworm,25
sneezing - since 1 week,25
prolonged pyrexia,25
dizziness under evaluation,25
dl),25
weakness',25
bleeding gum,25
ringworm over body,25
low backache weakness,25
lrti for evaluation,25
rt arm pain,25
pain in knee joint,25
emesis,25
itching in whole body,25
chronic myalgia -back,25
2 hypertension,25
intestinal worms,25
dry,25
tingling limbs,25
heel pain [ plantar fascitis ],25
cough (mild),25
tenia infection,25
chronic diarrhoea,25
back pain.,25
itching+,25
cold cough fever+,25
mother seeking advice for deworming,25
burning sensation of foot,25
h - 4,25
low bakc ache,25
heart disease,25
l feet,25
vit b12 deficiency,25
numbness b,25
not associated,25
and weakness,25
tendonitis,25
o worm infestation,25
itching on scalp,25
joint,25
hands feet pain,25
dm on medications,25
weakness scabies,25
generalised weakness  anaemia,25
body pain since 1 week,25
sob under evaluation,25
gall stone,25
gall bladder stone,25
fungal inf,24
swelling+,24
anaemia d3 deficiency,24
vitamin b12 deficiency,24
peripheral nueropathy,24
non bleeding piles,24
dry cough x 3 d,24
pain +,24
shoulder pain (r),24
pain in finger,24
itching on thighs,24
weakness loss of appetite,24
hypothyroidism on meds,24
heel-pain,24
varicose veins of lower limbs,24
epigastric discomfort,24
blood in stool,24
lba -  cause,24
gen weekness,24
abd discomfort,24
chronic,24
cough n cold since 5 days,24
pain back nknee,24
alcoholic,24
wakness,24
nasopharyngitis since 4days,24
delayed milestone,24
left chest pain.,24
body pain since 10 day,24
weakness lower back pain,24
abdominal,24
generalised weakness -  anaemia,24
loss appetite,24
chest pain due to cough,24
raised bp noted not on rx,24
bp higher side,24
tingling sensation over hands,24
dry cough since four days,24
